,Province_State,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21,1/6/21,1/7/21,1/8/21,1/9/21,1/10/21,1/11/21,1/12/21,1/13/21,1/14/21,1/15/21,1/16/21,1/17/21,1/18/21,1/19/21,1/20/21,1/21/21,1/22/21,1/23/21,1/24/21,1/25/21,1/26/21,1/27/21,1/28/21,1/29/21,1/30/21,1/31/21,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21,2/19/21,2/20/21,2/21/21,2/22/21,2/23/21,2/24/21,2/25/21,2/26/21,2/27/21,2/28/21,3/1/21,3/2/21,3/3/21,3/4/21,3/5/21,3/6/21,3/7/21,3/8/21,3/9/21,3/10/21,3/11/21,3/12/21,3/13/21,3/14/21,3/15/21,3/16/21,3/17/21,3/18/21,3/19/21,3/20/21,3/21/21,3/22/21,3/23/21,3/24/21,3/25/21,3/26/21,3/27/21,3/28/21,3/29/21,3/30/21,3/31/21,4/1/21,4/2/21,4/3/21,4/4/21,4/5/21,4/6/21,4/7/21,4/8/21,4/9/21,4/10/21,4/11/21,4/12/21,4/13/21,4/14/21,4/15/21,4/16/21,4/17/21,4/18/21,4/19/21,4/20/21,4/21/21,4/22/21,4/23/21,4/24/21,4/25/21,4/26/21,4/27/21,4/28/21,4/29/21,4/30/21,5/1/21,5/2/21,5/3/21,5/4/21,5/5/21,5/6/21,5/7/21,5/8/21,5/9/21,5/10/21,5/11/21,5/12/21,5/13/21,5/14/21,5/15/21,5/16/21,5/17/21,5/18/21,5/19/21,5/20/21,5/21/21,5/22/21,5/23/21,5/24/21,5/25/21,5/26/21,5/27/21,5/28/21,5/29/21,5/30/21,5/31/21,6/1/21,6/2/21,6/3/21,6/4/21
0,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3470,165,204,118,255,211,136,172,185,218,263,233,187,0,385,109,197,148,160,189,318,275,216,308,226,329,325,276,218,265,268,221,378,262,299,94,314,275,658,229,0,439,359,493,650,379,0,482,320,581,662,129,0,221,292,643,454,399,486,0,845,851,887,1014,656,629,0,874,784,531,471,431,620,0,1137,966,888,358,1724,849,895,0,1733,996,1091,925,881,1152,0,1298,1429,1633,1955,1670,0,2002,1968,2122,1776,1876,1455,1394,0,1752,2107,1147,1803,1251,1369,0,1946,1603,2071,1211,1008,0,1919,1688,1852,1148,1657,781,0,763,749,1268,851,544,1346,1109,0,1161,885,526,1639,519,0,1738,1131,1659,1336,803,1540,0,1030,1075,1401,510,659,632,0,1132,1106,926,1108,700,1591,0,661,1079,1292,798,816,786,0,1035,2467,923,730,662,555,0,1035,952,1674,789,543,743,920,0,1474,1050,816,733,1117,0,1135,1182,1286,964,858,1027,922,1375,3836,2353,1079,967,1089,1250,0,1329,1754,1694,907,1023,0,1361,1533,1735,1203,1170,1674,1989,0,2962,2211,1977,1409,1564,2592,0,2431,2329,1798,1572,2772,0,2599,917,2119,2231,2294,3316,0,3466,3785,3344,2276,2349,4386,0,4686,3801,4050,2790,2264,3616,0,4639,5306,4128,2548,2380,4916,0,4143,3621,1027,2164,2248,3882,0,4353,4476,3711,2475,2156,5490,0,4960,4946,4755,2715,2087,3622,2960,0,2860,3064,1916,1429,2510,0,2785,3444,3184,1725,1837,2666,2901,0,2622,0,3935,1221,1872,1809,0,1412,1928,1110,917,1262,0,1370,938,1127,1075,672,870,590,0,698,757,855,677,1385,1163,0,701,773,570,515,592,0,857,783,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,5,7,8,7,9,5,5,2,8,6,2,2,0,1,5,6,4,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,2,2,0,0,1,0,11,4,3,26,7,17,16,5,7,10,8,17,4,17,12,8,27,1,0,0,11,1,5,14,0,0,0,24,18,12,16,29,17,35,36,32,41,41,27,24,5,39,38,38,52,77,55,18,25,43,32,50,75,75,67,72,28,43,74,184,97,87,50,49,98,113,142,46,12,24,0,35,60,83,0,33,44,83,99,69,69,36,25,34,70,0,3,4,0,0,0,58,44,72,12,32,24,30,94,113,65,81,33,19,62,110,83,84,61,75,16,43,104,92,69,93,69,0,5,127,0,0,0,0,0,0,0,0,0,106,34,139,0,80,115,222,227,178,44,97,36,54,0,180,174,44,140,172,175,348,516,346,1372,305,334,380,443,344,345,388,401,313,528,572,516,474,524,496,480,592,746,659,584,640,547,492,463,679,548,500,577,680,556,674,666,621,511,0,702,1292,750,945,765,500,577,587,633,627,504,646,430,282,613,381,496,335,183,152,430,362,274,0,374,302,128,182,389,500,0,806,297,262,197,337,326,411,318,260,176,127,293,339,308,187,285,155,128,148,7376,296,244,165,84,87,182,206,185,154,135,108,118,226,185,254,0,0,509,124,204,154,152,0,0,0,495,62,214,210,0,0,344,55,177,181,112,0,0,374,153,190,145,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3427,156,95,144,265,255,202,205,128,171,194,281,256,234,246,191,230,221,0,275,358,212,249,309,349,185,489,0,64,181,276,377,334,397,257,185,136,227,208,326,188,319,225,120,193,366,442,470,662,571,74,1012,943,418,1411,883,1412,565,470,1444,1252,1751,1359,920,997,2180,1614,2326,3272,3014,2270,1812,3569,1551,2860,3087,3151,3515,368,4404,4493,2879,4052,2251,3070,2873,3117,2941,3444,3665,2428,2016,923,3758,2683,2672,3319,2118,1840,1167,3021,1440,1802,2843,3202,1542,1471,1698,1925,1989,2788,2589,1098,727,700,1333,1074,1034,650,439,275,915,242,997,594,554,626,250,665,326,435,355,727,0,117,653,0,442,286,392,143,32,333,318,847,504,636,63,54,0,318,280,344,422,188,55,342,516,1584,1095,451,293,118,468,237,368,316,258,268,146,539,169,531,390,481,212,146,698,415,655,491,684,407,298,560,713,900,509,756,496,576,881,780,783,753,667,1169,622,893,772,1031,1340,1603,1288,472,1454,513,1829,1639,2284,1581,207,3184,1686,1014,2686,3072,2017,1139,2608,2735,3674,3996,3101,3834,2232,4066,3397,2888,3754,3659,2633,290,9686,3120,4712,4978,6099,4609,909,11699,3602,4066,6115,7286,5065,11086,3349,3871,4867,6643,4660,4483,6994,4975,5182,0,11905,5282,538,9318,1834,4317,6686,8956,7904,16411,4365,4857,6167,8675,10521,10062,10121,8081,7379,4523,6135,7962,7532,5999,4542,5590,3635,8161,6907,6278,6251,4501,3789,4971,3672,4038,4256,4242,3074,2121,1384,3562,2990,2802,832,1727,3680,1223,1100,1716,1146,1441,925,761,795,527,1347,1566,1401,1152,115891,1267,818,1538,1109,1062,1040,768,1255,1058,2192,1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253,128,85,70,47,75,48,36,190,16,286,320,209,100,87,68,52,66,0,0,13,49,33,6,14,78,7,0,262,0,49,70,72,0,33,63,0,14,0,389,37,161,27,5,66,4,97,232,0,131,64,372,0,349,23,101,167,313,0,43,207,470,547,0,171,268,0,0,361,131,418,0,158,346,128,669,0,17,0,50,0,341,79,20,604,0,250,0,0,97,1055,0,55,127,0,139,55,767,179,0,0,0,133,19,727,0,74,0,31,0,65,36,631,0,9,46,21,200,758,0,0,0,679,0,0,128,7,0,0,21,0,188,0,0,0,0,78,0,155,0,191,0,0,0,321,424,85,348,0,0,0,0,517,406,56,720,37,0,983,864,0,0,1544,0,194,284,188,165,0,0,0,51,235,951,0,0,0,619,0,384,1140,0,66,36,0,263,417,186,200,94,0,0,98,210,400,406,231,0,0,0,163,331,389,834,0,0,174,483,921,738,328,8,386,818,799,1282,1837,0,0,91,2,422,363,386,0,0,332,0,575,0,1336,0,0,0,284,732,924,576,143,0,404,2293,0,983,783,0,0,0,84,887,732,673,0,0,0,537,863,0,0,0,0,350,672,336,4269,0,2013,0,1352,3640,0,1306,533,3297,0,169,2402,0,873,191,0,0,0,0,227,0,0,0,0,366,0,0,0,282,0,0,0,202,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,4,0,0,12,24,0,35,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22155,1062,1372,1237,895,1399,1231,903,2207,1722,1740,2105,1706,945,1154,1354,1113,2501,1298,1801,1267,1520,919,2469,2077,1461,1553,2705,1013,1666,1549,1742,1978,1738,1960,1409,1252,2171,2151,1948,2138,2215,1465,2365,2937,1587,2665,2725,3206,2028,2737,2394,2064,2750,3485,2777,1997,3176,2737,2965,3582,3238,3261,2259,3411,3149,3766,4204,3705,4283,3312,6168,6652,4349,5106,5670,3709,4679,8299,7487,7362,7773,3914,2362,11747,6286,12845,8403,9783,8305,7804,5758,8776,12693,8549,9707,8439,7387,6148,10909,11317,11822,9333,9276,6196,5796,5787,12456,13922,7903,7434,5926,5511,4631,9591,3797,10520,5363,7400,5288,14386,4668,12200,6491,14839,4823,5854,5489,8517,8948,4873,6497,5350,4823,6199,5324,5822,4672,5436,4564,3870,6439,3014,5497,4561,4499,4581,3520,2082,3314,2786,3577,3791,3931,2744,3345,2915,3020,3603,4365,3697,2857,3888,2836,3269,2978,4021,3724,2416,2794,2794,3358,3002,3727,3447,3160,2770,2622,3632,3262,3738,3253,2768,2716,3339,3809,2841,3027,2315,2055,3950,4028,3081,6336,5386,4847,2897,3814,4376,4319,4342,4321,4074,3723,4515,4934,5456,5882,6286,6121,3339,8536,8090,6101,8514,9380,9453,9019,9569,10536,11649,13045,12478,15653,9035,13668,16881,15625,10805,13710,15021,14796,14787,15647,19034,21225,23576,27498,28674,24068,24378,33385,33372,33480,32790,36120,26011,32973,63420,45138,47945,40150,41383,39692,34219,43667,37371,20532,59553,35715,36158,35150,32286,29409,44805,52100,38277,30928,37194,34517,44858,42934,54832,42303,39683,45965,37872,40003,38307,36767,31661,27896,35115,18625,20513,27793,22831,20518,44272,21098,15055,22499,18962,16954,13089,17909,12634,11918,14015,16243,8195,9577,13767,10069,8017,10051,9114,8509,5430,5489,8088,6105,5363,8560,5829,4283,4904,6047,4666,5116,4283,4108,3131,6302,4110,4069,4864,4605,3920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7018,367,238,5,303,388,339,652,0,680,395,341,856,702,469,420,407,412,0,394,354,346,231,304,391,445,441,436,275,107,217,209,293,330,264,248,255,162,226,329,234,442,177,55,241,123,282,421,458,218,186,160,223,251,223,209,134,149,133,114,118,156,165,118,144,131,180,201,254,141,178,142,160,232,300,293,207,270,182,175,284,297,243,238,188,167,369,411,406,626,362,301,290,411,427,534,583,425,333,397,438,586,569,636,794,522,200,711,436,374,557,427,435,207,390,567,425,433,431,318,327,365,285,434,299,276,338,159,241,252,296,0,613,246,178,434,166,332,398,248,171,185,343,212,252,0,665,264,204,170,217,253,286,389,400,366,384,568,432,581,589,480,521,632,585,525,675,558,548,391,505,475,648,651,634,480,434,622,685,821,797,978,796,552,977,632,1094,1236,1082,893,1019,1157,1194,1303,1295,1752,1634,2143,1373,1422,1731,2328,2861,2448,2158,2498,2833,3260,3342,3373,2928,3434,3800,3851,5038,6235,4971,3986,4135,4130,4240,5831,5524,5858,3719,3498,3871,3947,5848,4075,4128,3277,3906,4092,3561,5673,4728,4846,3054,3851,3716,3285,4288,4376,3755,2330,2729,1987,3263,3450,3472,2233,2131,2000,2377,2704,2755,2458,1296,1249,1515,1565,2218,3025,2874,1857,1968,2077,3280,2498,3180,3035,2785,1961,1563,1376,2266,2269,2149,1908,1386,1093,1542,1236,1864,1672,1865,1195,1208,1115,1439,1331,1591,1534,1146,842,843,1136,1513,1795,1404,1046,868,831,649,1634,2032,1106,809,490,619,1073,1123,1227,1040,751,631,23446,1158,1111,1506,1259,835,1535,769,1044,1347,1621,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11481,1298,539,569,1026,860,691,371,1649,453,1988,536,708,549,627,640,240,373,845,0,426,0,566,571,289,0,550,515,535,170,535,438,0,555,564,647,655,292,530,137,0,344,428,356,403,0,248,161,216,147,129,237,95,357,190,341,134,111,74,145,0,215,278,79,144,108,71,0,105,145,31,24,103,4,0,56,143,92,55,150,56,0,62,0,0,256,57,70,0,78,0,0,200,19,98,0,136,0,0,152,41,127,0,541,0,0,202,89,461,27,139,0,0,247,48,115,0,71,0,0,244,117,16,0,112,0,0,367,0,58,33,85,0,0,492,26,180,54,145,0,0,384,126,101,18,156,0,0,0,411,89,125,231,0,0,564,136,133,157,137,0,0,494,135,154,49,113,0,0,558,180,218,91,553,0,0,819,117,122,265,287,0,0,1337,319,160,35,800,0,0,1179,429,408,351,671,0,0,2035,532,481,1314,754,0,0,2640,977,520,1676,1050,0,0,3280,1512,1779,1148,2735,0,0,4617,1690,2029,2332,2065,0,0,5228,530,1827,0,3394,0,0,4655,1439,2621,4731,1503,0,0,8051,2396,2247,2389,3746,0,0,7150,1448,2279,2275,2651,0,0,4500,1556,1712,1983,0,0,0,8344,747,1656,2014,0,4308,0,4447,2308,2448,3247,3199,0,0,7272,3656,3442,951,1837,0,0,6627,2082,1871,1614,1974,0,0,5725,1244,2398,1382,1232,0,0,3858,2554,458,909,1402,0,0,4299,853,860,975,811,0,0,2839,578,507,527,1171,0,0,11994,1347,1470,956,779,0,0,2651,495,474,863,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,127,166,85,47,241,215,0,202,176,262,105,126,122,450,123,401,73,0,49,0,67,0,0,240,50,0,0,0,202,0,61,120,9,2,8,125,0,0,20,0,0,132,55,0,0,0,0,79,10,18,0,0,0,0,5,0,31,0,0,0,6,0,0,75,0,0,5,65,69,29,45,0,0,41,22,70,135,150,94,27,218,176,54,103,127,82,0,59,73,38,0,56,44,26,31,177,43,90,105,120,0,96,186,0,80,77,28,93,55,56,56,49,74,44,123,43,52,31,39,8,46,65,133,347,20,33,43,21,17,46,17,0,54,7,0,0,0,52,151,0,22,68,0,57,31,79,95,55,0,0,47,93,131,107,72,125,72,80,39,26,75,18,58,36,72,107,45,88,108,119,58,148,114,115,60,46,0,0,55,55,67,39,94,7,0,35,69,106,60,7,0,0,78,68,41,80,114,0,53,86,117,82,70,101,0,7,128,201,101,212,165,83,124,89,384,221,268,257,195,60,264,560,304,330,216,259,52,409,427,292,377,217,434,159,599,634,464,559,799,743,929,640,781,1050,583,997,675,780,827,332,1023,476,431,566,612,764,635,816,582,430,701,384,855,604,809,611,842,757,629,1218,546,960,795,540,614,724,891,655,631,922,616,396,459,19598,710,673,655,608,283,335,660,437,613,511,413,194,264,238,265,275,756,337,266,227,397,381,396,330,236,122,187,261,312,327,200,357,127,255,291,285,419,278,281,109,218,214,222,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Diamond Princess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
