,Province_State,Population,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08
0,Alabama,4903185.0,,,,,5181.0,5181.0,5181.0,5181.0,5181.0,5181.0,5181.0,5181.0,5181.0,5181.0,20354.0,20354.0,20354.0,20354.0,20354.0,42810.0,42810.0,42810.0,42810.0,42810.0,42810.0,42810.0,42810.0,42810.0,87138.0,87138.0,87138.0,87138.0,130394.0,130394.0,130394.0,148685.0,148685.0,158116.0,184618.0,202643.0,249356.0,249356.0,249356.0,287002.0,298017.0,314241.0,339756.0,361376.0,361376.0,361376.0,403509.0,420235.0,440579.0,459674.0,483290.0,483290.0,483290.0,556337.0,556337.0,582273.0,612035.0,641924.0,641924.0,641924.0,641924.0,714446.0,728955.0,752524.0,784913.0,784913.0,788613.0,837784.0,862108.0,886708.0,911884.0,946091.0,946091.0,946091,1000613,1025379,1053756,1084676,1117838,1117838,1168845,1168845,1191825,1220697,1252319,1285839,1298612,1298612,1334180,1358576,1363987,1390066,1426696,1460782,1472666,1479271,1509445,1542416,1579091,1611404,1645858,1659102,1666585,1697641,1728736,1771979,1813462,1847243,1858833,1864857,1896920,1938701,2021334,2065327,2082605,2092489,2127317,2168891,2207392,2245574,2280686,2292276,2297563,2327764,2360527,2394304,2429629,2461510,2471409,2478227,2499694,2527815,2559938,2591163,2617405,2622717,2627322,2627322,2670926,2673181,2726356,2758021,2768204,2773615,2773902,2791631,2831853,2859591,2881314,2886106,2886153,2905553,2906102,2939161,2945488,2962661,2981931,2982081,2996346,3002607,3007387,3016803,3020540,3021454,3021454,3022276,3025283,3025695,3032765,3032931,3035058,3036419,3036833
1,Alaska,731545.0,,,,,4270.0,4270.0,5674.0,7118.0,8918.0,11002.0,11002.0,11845.0,11845.0,12202.0,12202.0,11127.0,13772.0,13772.0,13772.0,18266.0,18266.0,18266.0,18266.0,20775.0,20775.0,25058.0,25058.0,25058.0,35005.0,35005.0,43348.0,49791.0,54946.0,54946.0,54946.0,67085.0,67085.0,69047.0,72662.0,81836.0,88331.0,88331.0,88331.0,98137.0,101585.0,105846.0,110400.0,115273.0,115273.0,115273.0,123448.0,125770.0,129940.0,134006.0,139151.0,139151.0,146082.0,152871.0,156252.0,162271.0,167432.0,175135.0,175138.0,183831.0,183831.0,193614.0,199148.0,206682.0,217541.0,227403.0,235141.0,239927.0,239927.0,243650.0,249559.0,254334.0,259538.0,264741,268406,269941,273350,276891,281467,288625,298144,298144,302687,307769,313365,318526,333357,333357,337141,339647,345987,351093,357997,362698,372435,375590,376555,380273,386510,392504,395650,401502,403284,408717,413024,417426,422134,422134,428556,435947,440363,447578,469295,469295,469295,485328,496015,499742,521123,525000,525000,525000,533669,539905,548385,550895,554133,554133,554133,558651,560217,566722,569114,572281,572281,572281,583933,583933,621496,623575,625950,625950,625950,575340,576572,596118,597901,600324,600324,600324,603937,605896,605896,610608,612904,612904,612904,612904,612904,612904,615746,615746,615746,615746,615746,615746,615746,615746,615746,615746,615746,615746,615746
2,Arizona,7278717.0,,,,,,,,,,,,,,,,,,,,,,,101030.0,101030.0,113993.0,126090.0,139068.0,148292.0,151844.0,165531.0,188740.0,217716.0,232125.0,263625.0,270718.0,281270.0,281270.0,297385.0,319984.0,347013.0,380764.0,412320.0,438419.0,458461.0,486338.0,518125.0,554760.0,592288.0,629845.0,659728.0,671513.0,702664.0,736845.0,766330.0,822821.0,861886.0,861886.0,920166.0,920166.0,1045644.0,1096126.0,1096126.0,1191338.0,1217126.0,1217126.0,1291053.0,1339829.0,1387118.0,1429147.0,1463509.0,1480973.0,1525794.0,1552911.0,1603558.0,1607544.0,1671294.0,1728239.0,1792447,1849259,1889742,1930999,1979929,2038623,2079951,2215219,2215219,2245854,2293559,2350374,2418267,2557630,2589268,2605621,2655283,2697523,2755436,2804864,2885293,2936274,2967869,3007386,3048082,3113264,3181677,3245254,3308671,3363062,3399399,3451567,3521132,3581448,3663281,3720230,3822451,3864889,3922851,3975606,4054007,4125010,4168939,4203995,4250790,4306602,4366496,4440592,4505745,4550226,4581441,4631928,4688598,4750108,4815132,4872521,4912269,4940974,4980955,5024348,5070403,5123812,5162655,5176775,5176775,5216530,5259733,5301083,5337459,5372605,5411726,5450531,5471165,5497137,5521396,5558091,5598339,5618126,5635242,5663654,5687093,5718183,5764271,5801149,5829205,5841059,5856464,5879403,5906194,5929316,5952458,5952458,5976666,5983627,5997066,6015930,6043146,6067368,6090510,6104303
3,Arkansas,3017804.0,,,,,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,58914.0,68465.0,77594.0,81277.0,84570.0,93333.0,106826.0,116772.0,124156.0,131390.0,137307.0,140559.0,140559.0,154235.0,171515.0,186105.0,200813.0,212072.0,218951.0,221602.0,234120.0,251096.0,267682.0,284928.0,299938.0,307558.0,310513.0,318408.0,334023.0,347806.0,370262.0,388924.0,397119.0,401664.0,413116.0,425873.0,442134.0,452208.0,467237.0,474603.0,478048.0,483438.0,489639.0,493776.0,517271.0,520904.0,528467.0,540192.0,534479.0,553004.0,578519.0,597990.0,622665.0,649311,661572,670815,687433,704368,723756,744139,773357,782750,782750,799184,800091,836608,882630,882630,892588,897059,912660,929862,952919,974973,999488,1008575,1012415,1032499,1056307,1086176,1114449,1143893,1153739,1159108,1183295,1209965,1244076,1305535,1306811,1316063,1325141,1351223,1405741,1440169,1469291,1478774,1484206,1508295,1535135,1561736,1585770,1611803,1618371,1624969,1645403,1667028,1688238,1707412,1724751,1734405,1737538,1753393,1772085,1787295,1803795,1824158,1829914,1829914,1845530,1860521,1872359,1885668,1900002,1905274,1909885,1919251,1928682,1938998,1954605,1966843,1970379,1973505,1981006,1991127,2002891,2015842,2025275,2029791,2032185,2041850,2050759,2058874,2069135,2077244,2077244,2081267,2083064,2089146,2095644,2103704,2111201,2111327,2117118
4,California,39512223.0,,,,,,,,,,,,,,,,,,,,,436154.0,454306.0,459564.0,488515.0,586379.0,652128.0,734405.0,734405.0,783476.0,816673.0,889042.0,971829.0,971829.0,1188703.0,1303518.0,1303518.0,1303518.0,1393224.0,1393224.0,1393224.0,1393224.0,1393224.0,1393224.0,1393224.0,2587736.0,2730262.0,2893493.0,3078250.0,3266914.0,3434295.0,3523111.0,3649440.0,3792797.0,3984752.0,4199626.0,4650637.0,4650637.0,4746539.0,4914613.0,5089483.0,5291493.0,5511429.0,5768684.0,5981552.0,6153109.0,6262781.0,6435184.0,6699137.0,6964603.0,7201713.0,7453468.0,7728120.0,7728120.0,7876011.0,8064121.0,8310945.0,8566470.0,8821044,9106077,9497125,9731169,9860209,10071476,10415023,10805474,10925581,10925581,11062505,11220508,11428034,11883375,11883375,12306608,12686451,13161027,13563094,13882984,14276125,14708175,15050673,15349039,15691888,16062266,16527440,16944916,17335016,17703550,17922091,18223412,18604164,18985902,19449615,19962420,20309146,20485651,20865892,22030904,22501294,22777893,23031055,23243392,23760123,24242205,25047682,25569748,26092008,26435308,26689222,27013516,27384986,27727113,28302062,28798648,29151065,29372925,29640092,29957450,30223491,30820835,31185031,31382140,31382140,31670889,31997303,32367810,32759885,33109680,33438134,33632769,33817290,34085597,34319950,34715312,35114882,35341738,35518035,35767717,36053888,36377958,36714358,37048042,37218236,37325781,37480670,37669020,37874433,38066786,38261502,38261502,38472729,38517344,38637246,38825789,39130665,39350625,39541180,39633257
5,Colorado,5758736.0,,,,,,12123.0,22539.0,33934.0,38666.0,43749.0,55778.0,63170.0,63233.0,65282.0,65282.0,73867.0,82342.0,94297.0,104086.0,105842.0,111679.0,113700.0,113700.0,127425.0,144160.0,170332.0,200877.0,217250.0,223488.0,238766.0,253422.0,270800.0,287714.0,308441.0,323037.0,328533.0,328533.0,338584.0,352984.0,375195.0,403896.0,431898.0,445251.0,455081.0,471528.0,492188.0,519551.0,542764.0,565489.0,586025.0,597571.0,613294.0,635017.0,657725.0,691937.0,725811.0,747855.0,753424.0,782831.0,810790.0,840224.0,881104.0,922027.0,970215.0,995662.0,1019072.0,1046994.0,1083308.0,1132448.0,1167895.0,1202161.0,1233466.0,1233466.0,1268302.0,1294236.0,1323183.0,1341927.0,1382449,1412910,1428854,1462053,1494910,1535529,1580969,1640993,1667075,1717634,1759617,1803495,1857218,1950480,1950480,1963387,1983746,2026340,2066482,2122524,2188145,2250372,2276660,2310425,2344091,2388899,2443350,2500874,2569087,2602792,2645306,2691248,2746030,2803981,2878136,2954206,2979697,3017904,3079255,3184749,3266193,3336248,3407618,3464019,3527781,3583563,3646570,3714665,3790514,3846376,3890828,3942162,4003990,4068389,4072289,4210710,4241020,4278837,4323941,4388497,4442828,4506339,4549102,4571001,4571001,4649806,4711738,4768105,4818646,4880920,4923667,4959078,4984769,5015042,5065097,5109459,5165684,5187825,5209739,5251141,5285343,5287276,5387598,5419921,5565142,5595932,5634160,5660686,5688393,5715944,5734383,5745729,5754510,5777056,5784130,5784130,5784130,5784130,5896546,5914366
6,Connecticut,3565287.0,,,,1982.0,1982.0,1982.0,1982.0,7761.0,7761.0,7761.0,7761.0,7761.0,7761.0,7761.0,36276.0,36276.0,36276.0,54727.0,54727.0,54727.0,54727.0,54727.0,75180.0,75180.0,75180.0,101734.0,101734.0,101734.0,101734.0,141055.0,141055.0,171035.0,171035.0,171035.0,171035.0,171035.0,171035.0,229524.0,243140.0,264707.0,287440.0,306796.0,321737.0,331264.0,342643.0,360991.0,381160.0,403370.0,421191.0,436842.0,449253.0,456090.0,465008.0,481826.0,502347.0,519400.0,533941.0,542414.0,554322.0,574750.0,600249.0,626678.0,654766.0,674704.0,674704.0,711142.0,738191.0,767183.0,822615.0,847820.0,860534.0,892882.0,892882.0,912033.0,925946.0,954153.0,980211.0,1004467,1031305,1040154,1061375,1087313,1121517,1157114,1228865,1228865,1245687,1272581,1304302,1345350,1411532,1411532,1442439,1460334,1483587,1514945,1551481,1586484,1623090,1658338,1676905,1701298,1737160,1774045,1813854,1854289,1891603,1924605,1954259,1992899,2035542,2092230,2138503,2178710,2186180,2227005,2384592,2391842,2451693,2498626,2531669,2572005,2612551,2671509,2720972,2770457,2808703,2834601,2870146,2913574,2957181,3006976,3056088,3094177,3112117,3147007,3184543,3220725,3264326,3300234,3321709,3321709,3361098,3398443,3437201,3475019,3512139,3544069,3566107,3587180,3612792,3637551,3669074,3705086,3736215,3753824,3773346,3805000,3836435,3872950,3874701,3919374,3931088,3945496,3968265,3992826,4009308,4024797,4024797,4044620,4048712,4059343,4071439,4071664,4108136,4129334,4140584
7,Delaware,973764.0,,92.0,105.0,455.0,1980.0,3072.0,3090.0,4404.0,5202.0,6991.0,7420.0,7420.0,7852.0,7858.0,8834.0,10343.0,11960.0,13691.0,13701.0,14265.0,14265.0,14265.0,15460.0,17064.0,18732.0,21814.0,23851.0,26567.0,26567.0,28316.0,30992.0,33883.0,36634.0,38650.0,41309.0,43063.0,43063.0,46141.0,49873.0,54760.0,54760.0,64690.0,67475.0,68995.0,77924.0,82699.0,87511.0,92552.0,100678.0,103258.0,103791.0,107597.0,110707.0,113592.0,117662.0,125756.0,125756.0,126650.0,127523.0,130116.0,133370.0,136591.0,142103.0,149830.0,151739.0,154483.0,159533.0,164518.0,175305.0,180600.0,180940.0,186619.0,186619.0,189836.0,196089.0,204389.0,212739.0,219312,225374,228097,237669,246194,255036,264601,280674,285101,285101,286933,299695,307982,319587,319587,333896,338429,346179,354571,362023,372165,382342,389157,389157,397204,406635,417566,428136,438768,447568,453447,463476,473912,485988,498720,508590,516432,519065,528053,549853,561531,576112,582422,587884,599682,612195,625694,637222,648557,657111,662401,672471,682998,694722,704986,717216,723678,729085,739528,748392,759503,771295,781165,783813,783813,793383,793463,810270,817708,825352,831440,837312,841297,846379,851363,856073,863273,868191,870394,874029,876335,883409,892929,900800,904772,908361,911838,916936,927664,934414,939050,939050,943680,944812,947021,951447,951496,960980,964489,966633
8,District of Columbia,705749.0,,,,,,,,,,,,,,,,,,,,,,,16989.0,16989.0,16989.0,16989.0,16989.0,16989.0,26672.0,26672.0,26672.0,26672.0,26672.0,26672.0,26672.0,41053.0,41053.0,41053.0,41053.0,41053.0,41053.0,41053.0,51421.0,51421.0,51421.0,51421.0,51421.0,51421.0,51421.0,62219.0,62219.0,83553.0,85065.0,94095.0,98862.0,102031.0,105819.0,108475.0,108475.0,108475.0,111720.0,114110.0,116261.0,121313.0,121313.0,126500.0,128460.0,130437.0,157111.0,159640.0,162674.0,166724.0,166724.0,170343.0,173030.0,176044.0,184748.0,194746,198047,199212,202090,207421,211736,220634,230110,232666,232666,238189,244060,250090,264499,264499,271191,274424,281538,285546,291022,296647,302692,306996,309362,313341,320173,327007,334783,344954,353718,359065,374297,381345,388617,396885,403560,407352,412388,413125,434907,445289,454034,462553,466580,471911,481913,491109,500879,511693,521527,525165,532219,539240,548808,558290,568011,576507,581013,588451,595665,601789,608710,615530,620186,620186,626082,631309,637854,647628,655560,665014,671959,681780,685996,692270,698064,714049,724576,729556,733212,739546,748358,754427,762688,765744,767803,770851,774198,781132,785239,788012,788012,790691,791412,792734,795113,797785,797796,803500,805360
9,Florida,21477737.0,,28.0,2632.0,13091.0,26339.0,41164.0,45607.0,48388.0,62921.0,81039.0,105430.0,115676.0,116015.0,128920.0,132635.0,156803.0,187896.0,230777.0,249669.0,250595.0,255808.0,260655.0,291770.0,334977.0,398824.0,467816.0,550157.0,596735.0,627944.0,699587.0,768629.0,846855.0,928869.0,1024704.0,1099535.0,1125053.0,1125053.0,1166458.0,1233594.0,1306983.0,1389149.0,1479622.0,1534816.0,1565383.0,1622421.0,1697849.0,1814482.0,1879244.0,1948148.0,1993472.0,2036038.0,2119968.0,2209641.0,2320966.0,2448711.0,2579175.0,2661796.0,2710156.0,2813488.0,2933920.0,3057652.0,3216044.0,3351430.0,3467856.0,3490648.0,3598996.0,3702569.0,3819224.0,4198451.0,4205898.0,4387051.0,4406005.0,4406005.0,4502702.0,4605201.0,4704530.0,4822353.0,5044420,5047960,5077891,5167346,5314200,5448653,5688357,5904827,5961421,5961421,6070173,6332072,6613352,7108286,7108286,7116355,7197889,7332554,7522691,7684142,7977789,8186888,8191294,8250717,8396727,8603007,8811431,9028641,9271008,9276711,9405368,9563326,9781739,9988150,10204039,10565844,10567292,10645680,10806283,11367878,11639845,11912259,12083514,12188472,12302529,12550868,12767808,13029551,13397449,13400013,13486553,13652873,13856952,14062043,14252729,14462795,14608762,14698580,14851191,15013785,15159919,15488105,15491654,15566404,15566404,15721876,15893169,16084479,16251997,16431037,16598829,16697361,16801374,16937994,17052882,17325840,17328800,17431492,17502836,17592926,17744573,17868244,18046544,18139598,18217092,18270527,18348183,18442633,18532296,18620153,18703929,18703929,18821297,18864968,18912564,18982387,19078401,19159212,19239288,19301304
